,Type,Description,Suffix,Description,Metric Name,Description,Values for `period`,Name,Description,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Name,Description,Name,Description,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Name,Description,Source Type Name,Description,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Name,Description,Metric Name,Description,Values for period,Parameter,Description,Error,Description
10,,,,,,,,profile_info,Info tab,page_call_phone_clicks_logged_in_by_city_unique,"Number of people who logged in to Facebook and clicked the Call Now button, broken down by city.","day, week",page_places_checkins_by_age_gender,gender and age of people who checked in at your Place.,day,page_impressions_by_story_type,Total impressions of posts published by a friend about your Page by type. (See possible types),"day, week, days_28",page_posts_impressions_nonviral_unique*,"The number of people who had any posts by your Page enter their screen. This does not include content created about your Page with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page.","day, week, days_28",,,,,,,,post_impressions_viral*,"The number of times your Page's post entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page.",lifetime,,,,,,,page_fan_removes_unique,Unlikes of your Page.,"day, week, days_28",,,,,page_video_complete_views_30s_organic,"The number of times your Page's videos played for at least 30 seconds, or for nearly their total length if they're shorter than 30 seconds, by organic reach. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",page_views_by_referers_logged_in_unique,Logged-in Page visit counts (unique users) by referral source.,"day, week",post_video_views_paid,"The number of times your promoted videos played for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds. For each impression of a video, we'll count video views separately and exclude any time spent replaying the video.","lifetime, day",post_activity_by_action_type_unique*,"The number of people who created a story about your Page post, by action type.",lifetime,,,,,,,,,
11,,,,,,,,profile_likes,Likes tab,page_call_phone_clicks_by_site_logged_in_unique,"The number of people who clicked your Page's phone number or Call Now button while they were logged into Facebook, broken down by the type of device they used.","day, week, days_28",page_places_checkins_by_locale,top locales of people who checked into your Place.,day,page_impressions_by_story_type_unique,The number of people who saw posts published by a friend about your Page by type. (See possible types),"day, week, days_28",page_posts_impressions_frequency_distribution,"The number of people who saw your Page posts, broken down by how many times people saw your posts.","day, week, days_28",,,,,,,,post_impressions_viral_unique*,"The number of people who had your Page's post enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page.",lifetime,,,,,,,page_fans_by_unlike_source_unique,"The number of people who unliked your Page, broken down by the most common ways people can unlike your Page.",day,,,,,page_video_complete_views_30s_autoplayed,"The number of times your Page's automatically played videos played for at least 30 seconds, or for nearly their total length if they're shorter than 30 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",,,,post_video_views_paid_unique,"The number of people who viewed your promoted videos for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds. For each impression of a video, we'll count video views separately and exclude any time spent replaying the video.",lifetime,,,,,,,,,,,,
12,,,,,,,,profile_photos,Photos tab,page_get_directions_clicks_logged_in_unique,Number of people who logged in to Facebook and clicked the Get Directions button.,"day, week, days_28",page_places_checkins_by_country,top countries of people who checked into your Place.,day,page_impressions_by_city_unique,The number of people who have seen any content associated with your Page by city.,"day, week, days_28",,,,,,,,,,,post_impressions_nonviral*,"The number of times your Page's post entered a person's screen. This does not include content created about your Page with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page.",lifetime,,,,,,,,,,,,,,page_video_complete_views_30s_click_to_play,"The number of times your Page's videos played for at least 30 seconds, or for nearly their total length if they're shorter than 30 seconds, after people clicked play. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",,,,post_video_length,"The length, in milliseconds, of a video post.",lifetime,,,,,,,,,,,,
13,,,,,,,,timeline,Pages timeline,page_get_directions_clicks_by_age_gender_logged_in_unique,"Number of people who logged in to Facebook and clicked the Get Directions button, broken down by age and gender group.","day, week, days_28",page_negative_feedback,"The number of times people took a negative action (e.g., un-liked or hid a post).","day, week, days_28",page_impressions_by_country_unique,The number of people who have seen any content associated with your Page by country.,"day, week, days_28",,,,,,,,,,,post_impressions_nonviral_unique*,"The number of people who had your Page's post enter their screen. This does not include content created about your Page with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page.",lifetime,,,,,,,,,,,,,,page_video_complete_views_30s_unique,"The number of people who viewed your Page's videos for at least 30 seconds, or for nearly their total length if they're shorter than 30 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",,,,post_video_views,"The number of times your videos played for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.","lifetime, day",,,,,,,,,,,,
14,,,,,,,,events,Events tab,page_get_directions_clicks_logged_in_by_country_unique,"Number of people who logged in to Facebook and clicked the Get Directions button, broken down by country.","day, week",page_negative_feedback_unique,"The number of people who took a negative action (e.g., un-liked or hid a post).","day, week, days_28",page_impressions_by_locale_unique,The number of people who have seen any content associated with your Page by user selected language.,"day, week, days_28",,,,,,,,,,,post_impressions_by_story_type*,The number of times this post was seen via a story published by a friend of the person viewing the post.,lifetime,,,,,,,,,,,,,,page_video_complete_views_30s_repeat_views,"The number of times your Page's videos replayed for at least 30 seconds, or for nearly their total length if they're shorter than 30 seconds.","day, week, days_28",,,,post_video_views_unique,"The number of people who viewed your videos for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, lifetime",,,,,,,,,,,,
15,,,,,,,,videos,Videos tab,page_get_directions_clicks_logged_in_by_city_unique,"Number of people who logged in to Facebook and clicked the Get Directions button, broken down by city.","day, week",page_negative_feedback_by_type,The number of times people took a negative action broken down by type. (See possible types),"day, week, days_28",page_impressions_by_age_gender_unique,"The number of people who saw any content by your Page or about your Page, grouped by age and gender. This number is an estimate.","day, week, days_28",,,,,,,,,,,post_impressions_by_story_type_unique*,"The number of people who saw your Page post in a story from a friend, by story type.",lifetime,,,,,,,,,,,,,,post_video_complete_views_30s_autoplayed,"The number of times your videos automatically played for at least 30 seconds, or for nearly their total length if they're shorter than 30 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video. Returns 0 for reshared videos.",lifetime,,,,post_video_views_autoplayed,"The number of times your videos automatically played for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.",lifetime,,,,,,,,,,,,
16,,,,,,,,wall,Timeline,page_get_directions_clicks_by_site_logged_in_unique,"Number of people who logged in to Facebook and clicked the Get Directions button, broken down by www, mobile, api or other.","day, week, days_28",page_negative_feedback_by_type_unique,The number of people who took a negative action broken down by type. (See possible types),"day, week, days_28",page_impressions_frequency_distribution,The number of people your Page reached broken down by how many times people saw any content about your Page.,"day, week, days_28",,,,,,,,,,,,,,,,,,,,,,,,,,,post_video_complete_views_30s_clicked_to_play,"The number of times your videos played for at least 30 seconds, or for nearly their total length if they're shorter than 30 seconds, after people clicked play. During a single instance of a video playing, we'll exclude any time spent replaying the video. Returns 0 for reshared videos.",lifetime,,,,post_video_views_clicked_to_play,"The number of times your videos played for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds, after people clicked play. During a single instance of a video playing, we'll exclude any time spent replaying the video.",lifetime,,,,,,,,,,,,
17,,,,,,,,,,page_website_clicks_logged_in_unique,Number of people who logged in to Facebook and clicked the goto website CTA button.,"day, week, days_28",page_positive_feedback_by_type,The number of times people took a positive action broken down by type. (See possible types),"day, week, days_28",page_impressions_viral_frequency_distribution,"The number of people your Page reached from a story published by a friend, broken down by how many times people saw stories about your Page.","day, week, days_28",,,,,,,,,,,,,,,,,,,,,,,,,,,post_video_complete_views_30s_organic,"The number of times your videos played for at least 30 seconds, or for nearly their total length if they're shorter than 30 seconds, by organic reach. During a single instance of a video playing, we'll exclude any time spent replaying the video. Returns 0 for reshared videos.",lifetime,,,,post_video_views_15s*,"The number of times your videos played for at least 15 seconds, or for nearly their total length if they're shorter than 15 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.",lifetime,,,,,,,,,,,,
18,,,,,,,,,,page_website_clicks_by_age_gender_logged_in_unique,"Number of people who logged in to Facebook and clicked the goto website CTA button, broken down by age and gender group.","day, week, days_28",page_positive_feedback_by_type_unique,The number of people who took a positive action broken down by type. (See possible types),"day, week, days_28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post_video_complete_views_30s_paid,"The number of times your promoted videos played for at least 30 seconds, or for nearly their total length if they're shorter than 30 seconds. For each impression of a video, we'll count video views separately and exclude any time spent replaying the video. Returns 0 for reshared videos.",lifetime,,,,post_video_views_60s_excludes_shorter*,"The number of times your videos played for at least 60 seconds. This metric is counted only for videos that are 60 seconds or longer. During a single instance of a video playing, we'll exclude any time spent replaying the video.","lifetime, day",,,,,,,,,,,,
19,,,,,,,,,,page_website_clicks_logged_in_by_country_unique,"Number of people who logged in to Facebook and clicked the goto website CTA button, broken down by country.","day, week",page_fans_online,"The number of your fans who saw any posts on Facebook on a given day, broken down by hour of day in PST/PDT.",day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post_video_complete_views_30s_unique,"The number of people who viewed your videos for at least 30 seconds, or for nearly their total length if they're shorter than 30 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.",lifetime,,,,post_video_views_10s,"The number of times your videos played for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.","lifetime, day",,,,,,,,,,,,
20,,,,,,,,,,page_website_clicks_logged_in_by_city_unique,"Number of people who logged in to Facebook and clicked the goto website CTA button, broken down by city.","day, week",page_fans_online_per_day,The number of your fans who saw any posts on Facebook on a given day.,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,page_video_views_10s,"The number of times your Page's videos played for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",,,,post_video_views_10s_unique,"The number of people who viewed your videos for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds. For each impression of a video, we'll count video views separately and exclude any time spent replaying the video.",lifetime,,,,,,,,,,,,
21,,,,,,,,,,page_website_clicks_by_site_logged_in_unique,"Number of people who logged in to Facebook and clicked the Page CTA button, broken down by www, mobile, api and other.","day, week, days_28",page_fan_adds_by_paid_non_paid_unique,The number of new people who have liked your Page broken down by paid and non-paid.,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,page_video_views_10s_paid,"The number of times your Page's promoted videos played for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds. For each impression of a video, we'll count video views separately and exclude any time spent replaying the video.","day, week, days_28",,,,post_video_views_10s_autoplayed,"The number of times your videos played automatically for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.",lifetime,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,page_video_views_10s_organic,"The number of times your Page's videos played for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds, by organic reach. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",,,,post_video_views_10s_clicked_to_play,"The number of times your videos played for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds, after people clicked play. During a single instance of a video playing, we'll exclude any time spent replaying the video.",lifetime,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,page_video_views_10s_autoplayed,"The number of times your Page's videos automatically played for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",,,,post_video_views_10s_organic,"The number of times your videos played for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds, by organic reach. During a single instance of a video playing, we'll exclude any time spent replaying the video.",lifetime,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,page_video_views_10s_click_to_play,"The number of times your Page's videos played for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds, after people clicked play. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",,,,post_video_views_10s_paid,"The number of times your promoted videos played for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds. For each impression of a video, we'll count video views separately and exclude any time spent replaying the video.","lifetime, day",,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,page_video_views_10s_unique,"The number of people who viewed your Page's videos for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",,,,post_video_views_10s_sound_on,"The number of times your videos played with sound on for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.",lifetime,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,page_video_views_10s_repeat,"The number of times your Page's videos replayed for at least 10 seconds, or for nearly their total length if they're shorter than 10 seconds.","day, week, days_28",,,,post_video_views_sound_on,"The number of times your videos played with sound on for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.",lifetime,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,page_video_view_time,"The total time, in milliseconds, people viewed your Page's video.",day,,,,post_video_view_time,"The total time, in milliseconds, your videos played, including videos played for less than 3 seconds and replays. Returns 0 for reshared videos.","lifetime, day",,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post_video_view_time_organic,"The total time, in milliseconds, your videos played by organic reach. Returns 0 for reshared videos.","lifetime, day",,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post_video_view_time_by_age_bucket_and_gender,"The total time, in milliseconds, your videos played for your Top Audiences, age and gender.",lifetime,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post_video_view_time_by_region_id,"The total time, in milliseconds, your videos played for your Top 45 Locations, Region - Country.","lifetime, day",,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post_video_views_by_distribution_type,The number of times your videos played by distribution type; page_owned and shared.,lifetime,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post_video_view_time_by_distribution_type,"The total time, in milliseconds, your videos played by distribution type; page_owned and shared.",lifetime,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post_video_view_time_by_country_id,The total number of minutes your videos played for your Top 45 Locations; Country.,lifetime,,,,,,,,,,,,
